strain	virus	date	region	country_exposure	date_submitted	lineage
Wuhan/Hu-1/2019	ncov	2019-12-31	China	Wuhan	2021-03-22	?
Wuhan/WH01/2019	ncov	2019-12-26	China	Wuhan	2021-03-22	?
hCoV-19/USA/NY-NYCPHL-000001/2020_2020-03-02	ncov	2020-03-02	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000002/2020_2020-03-02	ncov	2020-03-02	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000003/2020_2020-03-04	ncov	2020-03-04	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000005/2020_2020-03-04	ncov	2020-03-04	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000006/2020_2020-03-06	ncov	2020-03-06	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000007/2020_2020-03-04	ncov	2020-03-04	North America	?	2021-03-22	A.2
hCoV-19/USA/NY-NYCPHL-000009/2020_2020-03-07	ncov	2020-03-07	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000010/2020_2020-03-08	ncov	2020-03-08	North America	?	2021-03-22	B.1.320
hCoV-19/USA/NY-NYCPHL-000011/2020_2020-03-06	ncov	2020-03-06	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000012/2020_2020-03-09	ncov	2020-03-09	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000013/2020_2020-03-09	ncov	2020-03-09	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000014/2020_2020-03-09	ncov	2020-03-09	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000015/2020_2020-03-10	ncov	2020-03-10	North America	?	2021-03-22	B.1.319
hCoV-19/USA/NY-NYCPHL-000016/2020_2020-03-10	ncov	2020-03-10	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000017/2020_2020-03-11	ncov	2020-03-11	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000019/2020_2020-03-10	ncov	2020-03-10	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000021/2020_2020-03-10	ncov	2020-03-10	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000022/2020_2020-03-10	ncov	2020-03-10	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000023/2020_2020-03-10	ncov	2020-03-10	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000024/2020_2020-03-11	ncov	2020-03-11	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000025/2020_2020-03-10	ncov	2020-03-10	North America	?	2021-03-22	B.1.1.29
hCoV-19/USA/NY-NYCPHL-000026/2020_2020-03-10	ncov	2020-03-10	North America	?	2021-03-22	B.11
hCoV-19/USA/NY-NYCPHL-000027/2020_2020-03-11	ncov	2020-03-11	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000028/2020_2020-03-12	ncov	2020-03-12	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000029/2020_2020-03-09	ncov	2020-03-09	North America	?	2021-03-22	B.1.313
hCoV-19/USA/NY-NYCPHL-000030/2020_2020-03-12	ncov	2020-03-12	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000031/2020_2020-03-09	ncov	2020-03-09	North America	?	2021-03-22	B.1.319
hCoV-19/USA/NY-NYCPHL-000032/2020_2020-03-12	ncov	2020-03-12	North America	?	2021-03-22	B.37
hCoV-19/USA/NY-NYCPHL-000033/2020_2020-03-05	ncov	2020-03-05	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000034/2020_2020-03-09	ncov	2020-03-09	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000036/2020_2020-03-09	ncov	2020-03-09	North America	?	2021-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000037/2020_2020-03-09	ncov	2020-03-09	North America	?	2021-03-22	B.1
