strain	virus	date	region	country_exposure	date_submitted	lineage
hCoV-19/USA/NY-NYCPHL-003418/2021_EPI_ISL_1114500_2021-02-17	ncov	2021-02-17	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-003419/2021_EPI_ISL_1114501_2021-02-17	ncov	2021-02-17	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-003421/2021_EPI_ISL_1114502_2021-02-17	ncov	2021-02-17	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-003422/2021_EPI_ISL_1114503_2021-02-18	ncov	2021-02-18	North America	?	2030-03-22	B.1.1.7
hCoV-19/USA/NY-NYCPHL-003423/2021_EPI_ISL_1114504_2021-02-18	ncov	2021-02-18	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-003424/2021_EPI_ISL_1114505_2021-02-18	ncov	2021-02-18	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-003425/2021_EPI_ISL_1114506_2021-02-18	ncov	2021-02-18	North America	?	2030-03-22	B.1.1.7
hCoV-19/USA/NY-NYCPHL-003426/2021_EPI_ISL_1114507_2021-02-18	ncov	2021-02-18	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-003434/2021_EPI_ISL_1114508_2021-02-18	ncov	2021-02-18	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-003438/2021_EPI_ISL_1114509_2021-02-18	ncov	2021-02-18	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-003439/2021_EPI_ISL_1114510_2021-02-18	ncov	2021-02-18	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-003440/2021_EPI_ISL_1114511_2021-02-15	ncov	2021-02-15	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-003441/2021_EPI_ISL_1114512_2021-02-15	ncov	2021-02-15	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-003443/2021_EPI_ISL_1114513_2021-02-19	ncov	2021-02-19	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-003444/2021_EPI_ISL_1114514_2021-02-19	ncov	2021-02-19	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-003445/2021_EPI_ISL_1114515_2021-02-19	ncov	2021-02-19	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-003446/2021_EPI_ISL_1114516_2021-02-19	ncov	2021-02-19	North America	?	2030-03-22	B.1.526
